ID,DW
018ab79008f2e342,-0.272934759026452
02b9138753429402,-0.216864565692376
03f53ea2afe035fd,-0.176783046938221
04b28b5356eb17bd,-0.357773835960834
08de3c5e092173e4,-0.855321073144245
0a0e092a0c1e6c8f,-0.914774980427588
0ba1c7f1dafc1134,-0.316976857883441
0bc9ee704db74104,-1.19384622657505
1291ad7d784e90e5,-1.0505447621805
129c99e90c45f38c,-0.284321972548225
13bef9b0362773b3,-0.2838006854472
1559fd3bafe5582c,-0.310242836944496
19068f1fe266c5e1_1,-0.207182571764482
19e8ad8bf94af489,-0.195596325272285
1e41774b7169df7d,-0.0954577897007553
223dfd3c429d0e79,0.0083511853473498
27a31ff4f251781a,-0.500988148211506
2968df3b1e9bd676,-0.329496360745215
2f7c7b90372f9c9e,0.118056863393543
37ddc3bdb7342c83,-0.0903246919186947
3b8a90cfec1e6dab,-0.347501724841735
3c8c07696fbd0314,-0.0954901523221075
3dc2c5916354971b,0.00255701599119815
48e64dc185199502,-0.22959373558362
4dc16bcffc6daf9b,-1.17434768377495
4e65b329e7e27005,-1.28303916342847
533a774ad52b045,-0.132480581876717
53e7528dd1a9b39c,-0.147085723872568
5739286752f82402,-0.096472922107267
5a5918ffce98de10,-0.147368602083493
60197350a0c2b888,-0.170012114789627
628a18bc8a3d36dd,-0.303356471989072
6cfb6838a570c17c,-0.379846874484569
724143462c318037,-0.563627675759529
73473e3e1798d1d2,NaN
77fddd91c557626d,-1.19947766856446
7d5750a1b70460c2,-0.308833437082952
7e05fa9e0f3d490f,NaN
7f3fe2bc79a9d3f9,-1.23523134376884
80d914dc5270b2e7,-1.10770769980134
8107271d26b4e6ce,-0.306741432862439
861c06b5c483cd72,-0.296857393800753
8c587a4cbf53865d,-0.383149854678905
8d9ffe6a6752d2af,-0.153607984651238
90420442f22fa870,-0.291077301718354
91ce1477c08b672c,-0.297108517454618
92eff34d631e5d43,-0.297818310699123
93af9133e6fa6cf5,-0.307434808487514
9c490673610ca32b,-0.277104839063501
CIMHPipe,-0.282292949435291
ChileMaule,-0.107051019821802
CognitiveSystems_KU,-0.237425959703769
TMS_EEG_DREAM,-1.21101259346503
TeamKeele,-0.664410151867385
TheCodeMechanics,-0.280322470846405
Varuwa,-0.364361259655397
a0cf32754296214f,-0.307149556137341
a28bd183f8dca47f,-0.36922765923099
aa6aa366e9788967,-0.151768110017247
aaaaf00cc3912121,-0.394814696417282
ae58d64de88cfd4e,-0.150082499004904
b0edd369b6d8f4f1,-0.337649367748526
b3a91f02d3e5a9b0,-0.175963276923017
b47e0e61375f4d31,-1.17962014304172
b78245f9464a1398,-0.21416333204591
b965a3f37c262164,-0.224014021504461
ba2732f7a065a4b9,-1.36793719823831
baba120af1f1caca,-0.282446927294246
bd3077a83b5b16bd,-0.228189443144304
c0c75576f9cd0b2a,-0.170820574696521
c91e489c4acd0bf4,-0.142558738623269
d18fa8d3caaf88cf,-1.17955249887119
d58e77448897a421,-0.251601834027948
da33cf2264c9baa2,-0.122392938803201
db40ed62b3cf9ae9,-0.1958165454003
dc50b9e1e4c36653,-0.24145812458919
e13e7e07b99d853b,-1.25277663435924
e2d0d90e5cf594ed,-0.296756023362164
e37fd347e252962c,-0.367938933359075
e69a83408d1f3811,-1.09381927812628
ea6b1d1870708b82,-0.282603081571456
eef1406b3fca3e9c,-0.286630654881522
f2101fb6fdd45635,-0.184605570059314
f51bd6c2779b2256,-0.281201108301739
f68b7096e0e9c0d2,-0.296683046980156
f92a1d6a49d0d40a,-0.982001349940454
ff8bf48d04d11c84,-0.191475430381002
ff8cd5ce3123a097,-0.933264837118976
